quantile --- 417.948; lambda --- -0.09363
quantile --- 306.657; lambda --- -0.304845
quantile --- 150.594; lambda --- -0.682138
quantile --- 68.0335; lambda --- -0.312334
quantile --- 20.7949; lambda --- -0.880453
quantile --- 18.5963; lambda --- -0.925843
quantile --- 12.8072; lambda --- -0.799475
quantile --- 12.7828; lambda --- -0.912682
quantile --- 8.30243; lambda --- -0.891339
quantile --- 341.728; lambda --- -0.81058
quantile --- 213.953; lambda --- -0.980123
quantile --- 93.1642; lambda --- -0.823864
quantile --- 43.3213; lambda --- -0.810922
quantile --- 42.8854; lambda --- -0.946418
quantile --- 34.291; lambda --- -0.724
quantile --- 21.635; lambda --- -0.951362
quantile --- 19.3448; lambda --- -0.784561
quantile --- 17.9503; lambda --- -0.878394
quantile --- 15.5146; lambda --- -0.883963
quantile --- 13.4136; lambda --- -0.709722
quantile --- 10.7003; lambda --- -0.77795
quantile --- 7.40428; lambda --- -0.779408
quantile --- 32.4821; lambda --- -0.669713
quantile --- 15.3285; lambda --- -0.967844
quantile --- 10.9143; lambda --- -0.822675
quantile --- 9.26641; lambda --- -0.881766
quantile --- 407.137; lambda --- -0.386899
quantile --- 191.521; lambda --- -0.801685
quantile --- 31.7111; lambda --- -0.784689
quantile --- 17.2301; lambda --- -0.894044
quantile --- 16.2936; lambda --- -0.790525
quantile --- 12.4839; lambda --- -0.862332
quantile --- 7.8996; lambda --- -0.767017
quantile --- 597.066; lambda --- -0.351783
quantile --- 262.006; lambda --- -0.3654
quantile --- 229.23; lambda --- -0.379401
quantile --- 185.039; lambda --- -0.865873
quantile --- 160.876; lambda --- 0.179131
quantile --- 79.3857; lambda --- -0.266917
quantile --- 42.8818; lambda --- -0.737125
quantile --- 21.0656; lambda --- -0.918943
quantile --- 20.8592; lambda --- -0.978115
quantile --- 18.5722; lambda --- -0.761663
quantile --- 17.5829; lambda --- -0.861901
quantile --- 17.4904; lambda --- -0.816078
quantile --- 17.3636; lambda --- -0.747448
quantile --- 10.6276; lambda --- -0.898384
quantile --- 486.344; lambda --- -0.383507
quantile --- 221.467; lambda --- -0.848195
quantile --- 134.514; lambda --- -0.0541907
quantile --- 101.307; lambda --- -0.671002
quantile --- 64.6944; lambda --- -0.861303
quantile --- 24.0623; lambda --- -0.92976
quantile --- 561.062; lambda --- -0.860614
quantile --- 293.916; lambda --- -0.982965
quantile --- 212.02; lambda --- -0.984226
quantile --- 152.689; lambda --- -0.748057
quantile --- 128.523; lambda --- -0.900638
quantile --- 115.603; lambda --- -0.55001
quantile --- 92.3927; lambda --- 0.117702
quantile --- 87.2084; lambda --- -0.950865
quantile --- 19.8842; lambda --- -0.793733
quantile --- 8.27365; lambda --- -0.82309
quantile --- 63.224; lambda --- -0.224112
quantile --- 47.7741; lambda --- -0.537854
quantile --- 34.0431; lambda --- -0.964759
quantile --- 24.0064; lambda --- -0.736027
quantile --- 23.9093; lambda --- -0.764582
quantile --- 7.43691; lambda --- -0.8265
quantile --- 21.3179; lambda --- -0.512615
quantile --- 401.947; lambda --- 0.0391009
quantile --- 203.595; lambda --- -0.968531
quantile --- 89.5858; lambda --- -0.8784
quantile --- 88.254; lambda --- -0.0616457
quantile --- 78.5554; lambda --- -0.86951
quantile --- 58.6737; lambda --- -0.922547
quantile --- 31.3813; lambda --- -0.981774
quantile --- 14.5546; lambda --- -0.901975
quantile --- 9.50401; lambda --- -0.826435
quantile --- 309.586; lambda --- -0.744855
quantile --- 233.311; lambda --- 0.00652208
quantile --- 195.075; lambda --- -0.780908
quantile --- 110.173; lambda --- -0.234967
quantile --- 56.6489; lambda --- -0.591414
quantile --- 47.9816; lambda --- -0.122626
quantile --- 42.7372; lambda --- -0.871236
quantile --- 24.0923; lambda --- -0.964348
quantile --- 12.5632; lambda --- -0.784891
quantile --- 7.50217; lambda --- -0.859503
quantile --- 181.394; lambda --- 0.0454375
quantile --- 148.168; lambda --- -0.214064
quantile --- 139.818; lambda --- -0.925005
quantile --- 18.271; lambda --- -0.971321
quantile --- 10.3941; lambda --- -0.884727
quantile --- 8.6673; lambda --- -0.926649
quantile --- 1107.99; lambda --- -0.143247
quantile --- 207.743; lambda --- -0.809439
quantile --- 189.696; lambda --- -0.904514
quantile --- 183.604; lambda --- -0.536241
quantile --- 100.509; lambda --- -0.553619
quantile --- 95.2002; lambda --- -0.538842
quantile --- 91.4134; lambda --- -0.524734
quantile --- 51.4672; lambda --- -0.779847
quantile --- 41.8049; lambda --- -0.920482
quantile --- 21.5334; lambda --- -0.971548
quantile --- 10.0622; lambda --- -0.86713
quantile --- 9.09997; lambda --- -0.827412
quantile --- 196.802; lambda --- -0.886971
quantile --- 187.447; lambda --- -0.710103
quantile --- 176.179; lambda --- -0.97323
quantile --- 25.9763; lambda --- -0.927289
quantile --- 3.79735; lambda --- -0.76926
quantile --- 260.764; lambda --- -0.718087
quantile --- 75.9765; lambda --- -0.652161
quantile --- 42.6656; lambda --- -0.95285
quantile --- 12.9707; lambda --- -0.785737
quantile --- 11.9655; lambda --- -0.713532
quantile --- 9.01949; lambda --- -0.914389
quantile --- 155.127; lambda --- -0.878304
quantile --- 150.359; lambda --- -0.997951
quantile --- 112.349; lambda --- -0.971278
quantile --- 90.2029; lambda --- -0.631099
quantile --- 58.7024; lambda --- -0.623272
quantile --- 19.2828; lambda --- -0.688697
quantile --- 17.4791; lambda --- -0.986628
quantile --- 10.7943; lambda --- -0.829844
quantile --- 9.376; lambda --- -0.870959
quantile --- 6.91344; lambda --- -0.895526
quantile --- 263.173; lambda --- 0.00082033
quantile --- 183.426; lambda --- -0.338986
quantile --- 4.68833; lambda --- -0.694724
quantile --- 122.012; lambda --- -0.243506
quantile --- 678.958; lambda --- 0.241193
